# Manual calculation of b_i and c_i for y_i = sin(x_i) and x_i = i
#
# Formulas:
# b_0 = (y_1 - y_0) / h_0
# b_{i+1} = 2 * (y_{i+1} - y_i) / h_i - b_i
# c_0 = 0
# c_i = (b_i - b_{i-1}) / (2 * h_{i-1})
# (h_i = 1 in this case)
#
# Results:
#
# b_0 = sin(1) = 0.841470984807897
# b_1 = 2*(sin(2) - sin(1)) - b_0 = -0.705818100772326
# b_2 = 2*(sin(3) - sin(2)) - b_1 = -0.830536736759303
# b_3 = 2*(sin(4) - sin(3)) - b_2 = -0.965308269976288
# b_4 = 2*(sin(5) - sin(4)) - b_3 = 0.561064711265868
# b_5 = 2*(sin(6) - sin(5)) - b_4 = 0.797952841662558
# b_6 = 2*(sin(7) - sin(6)) - b_5 = 1.074851352172872
# b_7 = 2*(sin(8) - sin(7)) - b_6 = -0.410108056363687
# b_8 = 2*(sin(9) - sin(8)) - b_7 = -0.744371466399564
# b_9 = 2*(sin(10) - sin(9)) - b_8 = -1.167907725862689
#
# c_0 = 0
# c_1 = (b_1 - b_0)/2 = -0.773644542790111
# c_2 = (b_2 - b_1)/2 = -0.062359317993488
# c_3 = (b_3 - b_2)/2 = -0.067385766608493
# c_4 = (b_4 - b_3)/2 = 0.763186490621078
# c_5 = (b_5 - b_4)/2 = 0.118444065198345
# c_6 = (b_6 - b_5)/2 = 0.138449255255157
# c_7 = (b_7 - b_6)/2 = -0.742479704268279
# c_8 = (b_8 - b_7)/2 = -0.167131705017938
# c_9 = (b_9 - b_8)/2 = -0.211768129731563
#
#
i	b_i	c_i
0	0.841470984807897	0.000000000000000
1	-0.705818100772326	-0.773644542790111
2	-0.830536736759303	-0.062359317993488
3	-0.965308269976288	-0.067385766608493
4	0.561064711265868	0.763186490621078
5	0.797952841662558	0.118444065198345
6	1.074851352172872	0.138449255255157
7	-0.410108056363687	-0.742479704268279
8	-0.744371466399564	-0.167131705017938
9	-1.167907725862689	-0.211768129731563
