# x	spline(x)	splineInt(x)	splineDeriv(x)
0	0	0	0.841470984807897
0.1	0.0841470984807897	0.00420735492403948	0.841470984807897
0.2	0.168294196961579	0.0168294196961579	0.841470984807897
0.3	0.252441295442369	0.0378661943163554	0.841470984807897
0.4	0.336588393923159	0.0673176787846317	0.841470984807897
0.5	0.420735492403948	0.105183873100987	0.841470984807897
0.6	0.504882590884738	0.151464777265421	0.841470984807897
0.7	0.589029689365527	0.206160391277935	0.841470984807897
0.8	0.673176787846317	0.269270715138527	0.841470984807897
0.9	0.757323886327107	0.340795748847198	0.841470984807897
1	0.841470984807896	0.420735492403948	0.841470984807897
1.1	0.763152729302763	0.501095618866613	-0.860547009330348
1.2	0.669361582941827	0.572850275235974	-1.01527591788837
1.3	0.560097545725089	0.634452172426452	-1.17000482644639
1.4	0.435360617652548	0.684354021352465	-1.32473373500442
1.5	0.295150798724205	0.721008532928434	-1.47946264356244
1.6	0.13946808894006	0.742868418068779	-1.63419155212046
1.7	-0.031687511699887	0.74838638768792	-1.78892046067848
1.8	-0.218316003195637	0.736015152700275	-1.9436493692365
1.9	-0.420417385547188	0.704207424020266	-2.09837827779453
2	0.909297426825681	0.651415912562312	-0.830536736759303
2.1	0.825620159969816	0.738172185121752	-0.843008600358001
2.2	0.740695706754081	0.816498371677613	-0.855480463956698
2.3	0.654524067178476	0.886269753593906	-0.867952327555396
2.4	0.567105241243002	0.947361612234646	-0.880424191154094
2.5	0.478439228947657	0.999649228963844	-0.892896054752791
2.6	0.388526030292443	1.04300788514551	-0.905367918351489
2.7	0.297365645277359	1.07731286214367	-0.917839781950187
2.8	0.204958073902406	1.10243944132232	-0.930311645548884
2.9	0.111303316167582	1.11826290404549	-0.942783509147582
3	0.141120008059866	1.12465853167718	-0.965308269976288
3.1	0.0439153233961521	1.13392152921108	-0.978785423297987
3.2	-0.0546370765997316	1.133396672512	-0.992262576619685
3.3	-0.154537191927785	1.12294919004673	-1.00573972994138
3.4	-0.255785022588009	1.10244431028204	-1.01921688326308
3.5	-0.358380568580402	1.07174726168472	-1.03269403658478
3.6	-0.462323829904965	1.03072327272155	-1.04617118990648
3.7	-0.567614806561698	0.979237571859323	-1.05964834322818
3.8	-0.674253498550601	0.91715538756481	-1.07312549654988
3.9	-0.782239905871673	0.844341948304797	-1.08660264987158
4	-0.756802495307927	0.76066248254607	0.56106471126587
4.1	-0.69306415927513	0.688041952068481	0.713702009390085
4.2	-0.614062093429911	0.622558441684792	0.8663393075143
4.3	-0.51979629777227	0.565738324376246	1.01897660563852
4.4	-0.410266772302208	0.519107973124086	1.17161390376273
4.5	-0.285473517019725	0.484193760909552	1.32425120188695
4.6	-0.14541653192482	0.462522060713888	1.47688850001116
4.7	0.00990418298250612	0.455619245518336	1.62952579813538
4.8	0.180488627702254	0.465011688304137	1.78216309625959
4.9	0.366336802234423	0.492225762052534	1.93480039438381
5	0.567448706579013	0.538787839744769	2.08743769250802
5.1	-0.877944549844901	0.446924657841836	0.821641654702226
5.2	-0.794595943722695	0.363277892485924	0.845330467741895
5.3	-0.708878456296523	0.28808443180743	0.869019280781564
5.4	-0.620792087566383	0.221581163936752	0.892708093821233
5.5	-0.530336837532277	0.164004977004286	0.916396906860902
5.6	-0.437512706194203	0.115592759140429	0.940085719900571
5.7	-0.342319693552163	0.076581398475578	0.96377453294024
5.8	-0.244757799606156	0.0472077831401291	0.987463345979909
5.9	-0.144827024356182	0.0277088012644792	1.01115215901958
5.99999999999999	-0.0425273678022412	0.018321340979025	1.03484097205925
6.09999999999999	-0.170545870429093	-0.00419980232825071	1.1025412032239
6.19999999999999	-0.058907257554152	-0.0156955336032888	1.13023105427493
6.29999999999999	0.0555003404258925	-0.0158889543355776	1.15792090532596
6.39999999999999	0.17267692351104	-0.00450316601460689	1.185610756377
6.49999999999999	0.292622491701291	0.0187387298701337	1.21330060742803
6.59999999999999	0.415337044996645	0.0541136318291545	1.24099045847906
6.69999999999999	0.540820583397102	0.101898438372966	1.26868030953009
6.79999999999999	0.669073106902662	0.162370048012078	1.29637016058112
6.89999999999999	0.800094615513325	0.235805359257001	1.32406001163215
6.99999999999999	0.933885109229092	0.322481270618246	1.35174986268318
7.09999999999999	0.608550996039743	0.385881896973553	-0.558603997217329
7.19999999999999	0.545265799275327	0.443696483356684	-0.707099938070984
7.29999999999999	0.467131008425546	0.494440070359106	-0.85559587892464
7.39999999999999	0.3741466234904	0.536627698572281	-1.00409181977829
7.49999999999999	0.266312644469888	0.568774408587673	-1.15258776063195
7.59999999999999	0.143629071364011	0.589395240996746	-1.30108370148561
7.69999999999999	0.0060959041727679	0.597005236390963	-1.44957964233926
7.79999999999999	-0.14628685710384	0.590119435361788	-1.59807558319292
7.89999999999999	-0.313519212465814	0.567252878500683	-1.74657152404657
7.99999999999999	-0.495601161913154	0.526920606399113	-1.89506746490023
8.09999999999999	0.916592417033614	0.622190284297775	-0.71094512539598
8.19999999999999	0.847169221544196	0.710350510942495	-0.677518784392393
8.29999999999999	0.781088660155136	0.791735549743292	-0.644092443388805
8.39999999999999	0.718350732866435	0.8666796641102	-0.610666102385217
8.49999999999999	0.658955439678093	0.935517117453257	-0.57723976138163
8.59999999999999	0.602902780590109	0.998582173182497	-0.543813420378042
8.69999999999999	0.550192755602485	1.05620909470796	-0.510387079374455
8.79999999999998	0.500825364715219	1.10873214543967	-0.476960738370867
8.89999999999998	0.454800607928312	1.15648558878768	-0.44353439736728
8.99999999999998	0.412118485241763	1.19980368816201	-0.410108056363692
